item_id,asset_path,display_name,category,buy_price,sell_price,max_stack,is_animal_product,is_key_item,is_not_sellable,requires_sell_confirmation,equipped_tool,medicine_level,fertilizer_level,required_village_level,soil_restore_amount,crop_booster_level,can_drop_to_world,can_place_in_world,sprinkler_level,is_edible,food_preparation,health_restore,stamina_restore,hunger_restore,seed_crop_id
item.hammer_tool,Assets/Nature  Paradaise/Resources/Items/Tools/Hammer Tool.asset,Hammer,Tool,0,0,1,FALSE,FALSE,FALSE,FALSE,Hammer,None,None,1,0,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.hoe_tool,Assets/Nature  Paradaise/Resources/Items/Tools/Hoe Tool.asset,Hoe,Tool,0,0,1,FALSE,FALSE,FALSE,FALSE,Hoe,None,None,1,0,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.leaf_compost,Assets/Nature  Paradaise/Resources/Items/Materials/Leaf Compost.asset,Leaf Compost,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.livestock_manure,Assets/Nature  Paradaise/Resources/Items/Materials/Livestock Manure.asset,Livestock Manure,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.mango_fruit,Assets/Nature  Paradaise/Resources/Trees/Mango Fruit.asset,Mango,Food,0,100,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,Raw,0,0,0,
item.mango_seedling,Assets/Nature  Paradaise/Resources/Trees/Mango Seedling.asset,Mango Seedling,General,750,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,0,FALSE,NotFood,0,0,0,
item.milk,Assets/Nature  Paradaise/Resources/Items/Animal/Milk.asset,Milk,Food,0,20,8,TRUE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,TRUE,ReadyToEat,5,18,15,
item.mountain_moss,Assets/Nature  Paradaise/Resources/Items/Materials/Mountain Moss.asset,Mountain Moss,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.oak_seedling,Assets/Nature  Paradaise/Resources/Trees/Oak Seedling.asset,Oak Seedling,General,100,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,0,FALSE,NotFood,0,0,0,
item.orange_fruit,Assets/Nature  Paradaise/Resources/Trees/Orange Fruit.asset,Orange,Food,0,100,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,Raw,0,0,0,
item.orange_seedling,Assets/Nature  Paradaise/Resources/Trees/Orange Seedling.asset,Orange Seedling,General,750,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,0,FALSE,NotFood,0,0,0,
item.organic_crop_booster,Assets/Nature  Paradaise/Resources/Items/Farming/Organic Crop Booster.asset,Organic Crop Booster,Material,240,0,99,FALSE,FALSE,FALSE,FALSE,CropBooster,None,None,1,0,2,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.pine_seedling,Assets/Nature  Paradaise/Resources/Trees/Pine Seedling.asset,Pine Seedling,General,100,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,0,FALSE,NotFood,0,0,0,
item.poultry_manure,Assets/Nature  Paradaise/Resources/Items/Materials/Poultry Manure.asset,Poultry Manure,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.premium_crop_booster,Assets/Nature  Paradaise/Resources/Items/Farming/Premium Crop Booster.asset,Premium Crop Booster,Material,500,0,99,FALSE,FALSE,FALSE,FALSE,CropBooster,None,None,1,0,3,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.premium_fertilizer,Assets/Nature  Paradaise/Resources/Items/Farming/Premium Fertilizer.asset,Premium Soil Fertilizer,Material,500,0,16,FALSE,FALSE,FALSE,FALSE,Fertilizer,None,Premium,3,35,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.quality_fertilizer,Assets/Nature  Paradaise/Resources/Items/Farming/Quality Fertilizer.asset,Organic Soil Fertilizer,Material,220,0,16,FALSE,FALSE,FALSE,FALSE,Fertilizer,None,Quality,2,20,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.sacred_flower,Assets/Nature  Paradaise/Resources/Items/Materials/Sacred Flower.asset,Sacred Flower,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.seed,Assets/Nature  Paradaise/Resources/Items/Farming/Seed.asset,Cabbage Seed,Seed,5,0,16,FALSE,FALSE,FALSE,FALSE,Seed,None,None,1,0,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,crop.cabbage
item.sickle_tool,Assets/Nature  Paradaise/Resources/Items/Tools/Sickle Tool.asset,Sickle,Tool,0,0,1,FALSE,FALSE,FALSE,FALSE,Sickle,None,None,1,0,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.sprinkler_lv1,Assets/Nature  Paradaise/Resources/Items/Farming/Sprinkler Lv1.asset,Sprinkler Lv.1,General,500,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,1,FALSE,NotFood,0,0,0,
item.sprinkler_lv2,Assets/Nature  Paradaise/Resources/Items/Farming/Sprinkler Lv2.asset,Sprinkler Lv.2,General,1500,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,2,0,1,TRUE,TRUE,2,FALSE,NotFood,0,0,0,
item.sprinkler_lv3,Assets/Nature  Paradaise/Resources/Items/Farming/Sprinkler Lv3.asset,Sprinkler Lv.3,General,5000,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,3,0,1,TRUE,TRUE,3,FALSE,NotFood,0,0,0,
item.sprinkler_lv4,Assets/Nature  Paradaise/Resources/Items/Farming/Sprinkler Lv4.asset,Sprinkler Lv.4,General,12000,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,4,0,1,TRUE,TRUE,4,FALSE,NotFood,0,0,0,
item.stone,Assets/Nature  Paradaise/Resources/Items/Materials/Stone.asset,Stone,Material,0,3,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.watering_can_tool,Assets/Nature  Paradaise/Resources/Items/Tools/Watering Can Tool.asset,Watering Can,Tool,0,0,1,FALSE,FALSE,FALSE,FALSE,WateringCan,None,None,1,0,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.wheat,Assets/Nature  Paradaise/Resources/Items/Materials/Wheat.asset,Wheat,Material,20,4,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.wild_small_seedling,Assets/Nature  Paradaise/Resources/Trees/Wild Small Seedling.asset,Wild Small Seedling,General,100,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,0,FALSE,NotFood,0,0,0,
item.wood,Assets/Nature  Paradaise/Resources/Items/Materials/Wood.asset,Wood,Material,0,4,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.wood_ash,Assets/Nature  Paradaise/Resources/Items/Materials/Wood Ash.asset,Wood Ash,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.wool,Assets/Nature  Paradaise/Resources/Items/Animal/Wool.asset,Wool,AnimalProduct,0,50,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
